id,patron,language,title,nbFollowing,nbFollowers,completionRate,chess960_games,chess960_rating,chess960_rd,chess960_prog,chess960_prov,puzzle_games,puzzle_rating,puzzle_rd,puzzle_prog,puzzle_prov,racingKings_games,racingKings_rating,racingKings_rd,racingKings_prog,racingKings_prov,ultraBullet_games,ultraBullet_rating,ultraBullet_rd,ultraBullet_prog,ultraBullet_prov,blitz_games,blitz_rating,blitz_rd,blitz_prog,blitz_prov,kingOfTheHill_games,kingOfTheHill_rating,kingOfTheHill_rd,kingOfTheHill_prog,kingOfTheHill_prov,crazyhouse_games,crazyhouse_rating,crazyhouse_rd,crazyhouse_prog,crazyhouse_prov,threeCheck_games,threeCheck_rating,threeCheck_rd,threeCheck_prog,threeCheck_prov,bullet_games,bullet_rating,bullet_rd,bullet_prog,bullet_prov,correspondence_games,correspondence_rating,correspondence_rd,correspondence_prog,correspondence_prov,classical_games,classical_rating,classical_rd,classical_prog,classical_prov,rapid_games,rapid_rating,rapid_rd,rapid_prog,rapid_prov,storm_runs,storm_score,racer_runs,racer_score,streak_runs,streak_score,profile_country,profile_location,profile_fideRating,playTime_total,playTime_tv
zhigalko_sergei,True,ru-RU,GM,112.0,61019.0,100.0,1236.0,2706.0,64.0,20.0,,2659.0,2637.0,102.0,0.0,,2.0,1698.0,308.0,0.0,True,16452.0,2485.0,48.0,-11.0,,5695.0,2847.0,45.0,-2.0,,1303.0,2558.0,52.0,17.0,,1146.0,2407.0,46.0,-5.0,,1653.0,2555.0,56.0,41.0,,32579.0,3000.0,46.0,26.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,313.0,2925.0,58.0,27.0,,50.0,91.0,4.0,105.0,1.0,25.0,BY,Minsk,2695.0,8147027.0,2145998.0
mhmtalynk5454,,tr-TR,,0.0,0.0,77.0,,,,,,,,,,,,,,,,,,,,,79.0,1416.0,45.0,26.0,,,,,,,,,,,,,,,,,28.0,1299.0,74.0,-96.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,38797.0,0.0
broccolone,,it-IT,,8.0,6.0,100.0,,,,,,,,,,,,,,,,,,,,,1054.0,2333.0,45.0,-15.0,,,,,,,,,,,,,,,,,354.0,2242.0,51.0,-18.0,,0.0,1500.0,500.0,0.0,True,16.0,2163.0,146.0,79.0,True,98.0,2279.0,78.0,34.0,,,,,,,,,,,571976.0,921.0
immanuelkant7,,tr-TR,,8.0,3.0,88.0,1.0,1233.0,342.0,0.0,True,568.0,1306.0,99.0,0.0,,,,,,,7.0,1617.0,215.0,0.0,True,284.0,1125.0,81.0,-15.0,,,,,,,2.0,1215.0,313.0,0.0,True,5.0,1051.0,229.0,0.0,True,1001.0,1276.0,59.0,-42.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,546.0,1210.0,92.0,7.0,,,,,,,,,,,462859.0,0.0
urcont,,ru-RU,,1.0,0.0,100.0,,,,,,77.0,2189.0,85.0,0.0,,,,,,,36.0,1248.0,86.0,-46.0,,636.0,1931.0,45.0,-25.0,,,,,,,,,,,,,,,,,429.0,1711.0,45.0,7.0,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,33.0,2112.0,107.0,86.0,,,,,,,,RU,,,286135.0,0.0
rickm51,,en-GB,,3.0,0.0,93.0,,,,,,137.0,1566.0,98.0,0.0,,,,,,,,,,,,4.0,1405.0,202.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,1.0,1229.0,309.0,0.0,True,747.0,1550.0,70.0,-32.0,,,,,,,,,,,505436.0,0.0
alperenmd,,en-US,,2.0,1.0,93.0,,,,,,,,,,,,,,,,,,,,,573.0,966.0,45.0,-1.0,,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,3.0,1400.0,203.0,0.0,True,,,,,,,,,,216913.0,0.0
aramkundra,,en-US,,0.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,10.0,1451.0,166.0,0.0,True,,,,,,,,,,,,,,,,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,0.0,1500.0,500.0,0.0,True,,,,,,,,,,1956.0,0.0
walterneitor,,es-ES,,2.0,9.0,90.0,,,,,,43.0,1416.0,86.0,0.0,,1.0,1258.0,402.0,0.0,True,53.0,1077.0,96.0,18.0,,4668.0,1416.0,45.0,35.0,,1.0,1138.0,357.0,0.0,True,3.0,1109.0,231.0,0.0,True,,,,,,1112.0,1153.0,45.0,-37.0,,2.0,1520.0,284.0,0.0,True,89.0,1625.0,98.0,-15.0,,1592.0,1472.0,45.0,6.0,,,,,,,,,,,2892627.0,0.0
craman96,,en-US,,1.0,3.0,97.0,,,,,,17.0,1532.0,103.0,0.0,,,,,,,,,,,,902.0,1116.0,45.0,19.0,,,,,,,,,,,,,,,,,6.0,1165.0,174.0,0.0,True,3.0,1307.0,314.0,0.0,True,0.0,1500.0,500.0,0.0,True,15.0,1169.0,137.0,-60.0,True,,,,,,,,,,357565.0,0.0
